id,position,code_name,name,color
1,1,basic,Basic,#007bff
2,2,git,Git,#343a40
3,3,ruby,Ruby,#dc3545
4,4,rails,Ruby on Rails,#dc3545
5,12,php,PHP,#6f42c1
6,6,html,HTML&CSS,#ffc107
7,7,js,JavaScript,#e6dc00
8,8,ts,TypeScript,#777777
9,9,react,React,#63daf9
10,10,vue,Vue,#42b983
11,11,angular,Angular,#dd0031
12,5,aws,AWS,#ec7211
13,16,money,マネタイズ講座,#4169e1
14,17,talk,全ての勉強会,#fd7e14
15,18,live,プログラミング勉強会,#f08080
16,19,invisible,非表示,#000000
17,13,design_tool,デザインツールの使い方,#50ffff
18,14,design_matter,実案件の取り方,#50ffff
19,15,design_usage,デザイナーのマーケティング戦略,#50ffff
